id,username,full_text,created_at,tweet_url
2,K26606487,Now I know why hitla cleaned y’all out free Palestine #hamsas #isreal #FreePalaestine,Tue Oct 24 15:13:39 +0000 2023,https://twitter.com/K26606487/status/1716835348918198752
3,PettyJeb,@Adii__here @goddeketal Their going to flatten Palestine pave it over and build a parking lot over all the Palestinian bodies. So you should go stand with Palestine in Palestine.,Tue Oct 24 15:13:39 +0000 2023,https://twitter.com/PettyJeb/status/1716835348783976787
5,andrewr90143431,@RepDonaldsPress You’re deep state. don’t pretend. Free Palestine,Tue Oct 24 15:13:38 +0000 2023,https://twitter.com/andrewr90143431/status/1716835348377178453
6,BlastedpullsSb,@jacksonhinklle Palestine should burn!,Tue Oct 24 15:13:38 +0000 2023,https://twitter.com/BlastedpullsSb/status/1716835348280447375
8,Gulskjegg,@MrAndyNgo Maybe we ship them all off to Palestine? Just a suggestion. https://t.co/1bRRVNiwmh,Tue Oct 24 15:13:38 +0000 2023,https://twitter.com/Gulskjegg/status/1716835346422362426
10,FranCkFran94668,🇮🇱 ISRAËL | 🇵🇸 PALESTINE ]  🔸 « Personne ne peut nous entraîner dans la guerre à moins que l’ennemi israélien ne nous attaque. et alors nous serons obligés de nous défendre. » - Gebran Bassil. Président du Courant patriotique libre. un parti politique allié du Hezbollah. https://t.co/DdNoXsQZLW,Tue Oct 24 15:13:38 +0000 2023,https://twitter.com/FranCkFran94668/status/1716835345742897627
11,NickDecoteau4,@paddingtonbearX @mediagonebad @caitoz Omg search engine will show you things with both words. that's what search engines do. It doesn't mean Country of Palestine existed or that those articles say that! Only that it has both words in an article and that's clearly going to happen. Learn how internet works!,Tue Oct 24 15:13:38 +0000 2023,https://twitter.com/NickDecoteau4/status/1716835345285988692
12,helpPalestine__,Pulling out a severely-injured girl from under the rubble of a shopping mall bombed by lsraeli warplanes in central Gaza. https://t.co/sWLVSrsomH,Tue Oct 24 15:13:37 +0000 2023,https://twitter.com/helpPalestine__/status/1716835343406612640
15,wanderluster34,@piersmorgan @PiersUncensored @Byoussef It was because of @Byoussef  not because of you being super neutral! You have never been neutral nor defended the civilians that were killed in Palestine! YOU need to be canceled Piers Morgan,Tue Oct 24 15:13:37 +0000 2023,https://twitter.com/wanderluster34/status/1716835341251027202
16,CanliSonDakika,Ünlü oyuncu Jason Statham arabasına Filistin bayrağı astı.  #JasonStatham #BREAKING  #Palestine https://t.co/51e9aZvvHP,Tue Oct 24 15:13:37 +0000 2023,https://twitter.com/CanliSonDakika/status/1716835341032685768
17,omererat,@SBWorkersUnited I stand with Palestine 🇵🇸 @Starbucks  #GenocideSupporters,Tue Oct 24 15:13:36 +0000 2023,https://twitter.com/omererat/status/1716835338935832816
18,WithNoE,@thetwilightsown @PendantCody @JStein_WaPo The graph actually makes Bernie look better lmao $0 of this money came from PACs,Tue Oct 24 15:13:36 +0000 2023,https://twitter.com/WithNoE/status/1716835338935582858
19,AzharAb07,امام شافعی فرماتے ہیں قرآن مجید میں ایک ایسی ایت بھی ہے جو ظالم کے دل میں تیر اور مظلوم کے دل پر رکھا ہوا مرہم ہے وہ کونسی؟  وَمَا كَانَ رَبُّكَ نَسِيًّا  *اور تیرا پروردگار بھولنے والا نہیں* (سورہ مریم)  *O my beloved oppressed brothers and sisters 🥹...  #Palestine,Tue Oct 24 15:13:36 +0000 2023,https://twitter.com/AzharAb07/status/1716835338889695727
22,Valmixx_,guys go follow my (soon to be) private account @Valmixx_pt2 cuz like i need more than one IM STARTING TO GET SUSSED 😭😭😭 :p,Tue Oct 24 15:13:35 +0000 2023,https://twitter.com/Valmixx_/status/1716835334733156513
23,josabelsgf,@bleepbloop8136 @wateryummy57 wait where did this all stem from ??,Tue Oct 24 15:13:35 +0000 2023,https://twitter.com/josabelsgf/status/1716835334690853103
25,we_ouchea,@verymsandrist No sense just clinkity clankity. So from me saying he showed kindness by seeing that she was uncomfortable and HELPING her means i says she should have stayed under the rubble🤣🤣🤣 yet YOU who saw FOUR men helping dig her out the rubble and said ‘OPPRESSORS’ ok darling.,Tue Oct 24 15:13:35 +0000 2023,https://twitter.com/we_ouchea/status/1716835333768446223
27,fajar_andro99,@netanyahu This M0nkey is War Criminal in Palestine. The Whole World very  curses you Netanyahu 💩💩💩💩💩💩💩💩💩💩 https://t.co/PBbNMCVk3O,Tue Oct 24 15:13:35 +0000 2023,https://twitter.com/fajar_andro99/status/1716835333307093420
34,HunterBidensD,@MrAndyNgo Send her to Palestine and see how that works outs,Tue Oct 24 15:13:33 +0000 2023,https://twitter.com/HunterBidensD/status/1716835324893286540
35,makkawee1,@Byoussef @piersmorgan On the same bases. why the Israelis stay in Palestine? They to told you to leave 😎😎😎😎,Tue Oct 24 15:13:32 +0000 2023,https://twitter.com/makkawee1/status/1716835322892628276
37,raj_sharma25962,@stats_feed Ye Palestine wale police hai ya aatakbaadi?,Tue Oct 24 15:13:32 +0000 2023,https://twitter.com/raj_sharma25962/status/1716835322284425271
39,D_Coder901,@ExpressNewsPK This Hypocrite Man has Supplied Arms. Ammunition . Mortars to Ukraine. This is called the support that a country needs.  Meanwhile. This American European Slave Will Just Issue Cowardly Verbal Statements for Palestine. #Gaza_Genocide,Tue Oct 24 15:13:31 +0000 2023,https://twitter.com/D_Coder901/status/1716835319088353681
40,AkidaAwal,@day_walker110 America and NATO failed in Ukraine now they come Palestine. what they need?know themselves,Tue Oct 24 15:13:31 +0000 2023,https://twitter.com/AkidaAwal/status/1716835317825860010
44,Tiaan35009125,ANC KZN calls for Woolworths boycott. as it prepares for protest in support of Palestine  The @MYANC don't have the competence to keep eThekwini solvent but at least they have enough competency in boycotting  and destruction.   https://t.co/kY2PFZEmGs  https://t.co/SEp7w4Z9iZ,Tue Oct 24 15:13:30 +0000 2023,https://twitter.com/Tiaan35009125/status/1716835314210058428
45,tristan_j3,@MattWalshBlog Taken by me at a pro Palestine March in Indianapolis. Mostly Arabs. no violence. no one was anti white or anti west. and no provoking the other side. After the protest. the Muslims made du’a for Palestine and we all left peacefully. Nothing like the BLM protests https://t.co/OoNAY0IhPs,Tue Oct 24 15:13:29 +0000 2023,https://twitter.com/tristan_j3/status/1716835309873447407
46,ChilliNameless,@jahan_arabegum @urnu_b go nd drink cow piss lundians🔥🔥,Tue Oct 24 15:13:29 +0000 2023,https://twitter.com/ChilliNameless/status/1716835308589945063
47,Endleirie,@iuseittocomment @RabiaMominn @MichaelAArouet @visegrad24 Palestinians existed as they were simply the nomads living on these lands. plus this name being created would've made the Palestinian identity. Though this is mostly to counter the whole idea that a Palestine didn't exist. which is indeed false.,Tue Oct 24 15:13:28 +0000 2023,https://twitter.com/Endleirie/status/1716835306014736557
49,iris_Jas_,@Youridefou on s'en fou réellement des gens meurt en palestine,Tue Oct 24 15:13:28 +0000 2023,https://twitter.com/iris_Jas_/status/1716835304366022712
52,NothernLeiLight,Le fait que j’ai associé ça à de la masturbation,Tue Oct 24 15:13:27 +0000 2023,https://twitter.com/NothernLeiLight/status/1716835302277283841
53,hi_child1211,@GoldenChild OUR LEADER LEE DAEYEOLLLLLLLLL,Tue Oct 24 15:13:27 +0000 2023,https://twitter.com/hi_child1211/status/1716835301619109979
54,RalphVtech,@NikkiHaley Nikki Nikki. can’t you see? Palestine will be free!,Tue Oct 24 15:13:27 +0000 2023,https://twitter.com/RalphVtech/status/1716835300239134972
55,GhamdiSaadawy,@7m9ll ترا ما بيدخلونك بلا أستهبال,Tue Oct 24 15:13:27 +0000 2023,https://twitter.com/GhamdiSaadawy/status/1716835298523717936
56,alexiamoorechen,Who the HELL is we?!,Tue Oct 24 15:13:27 +0000 2023,https://twitter.com/alexiamoorechen/status/1716835298418843923
57,steveinmerida,@Hecateus1 @Kumeil @ShaiDavidai Why should the Palestinians accept anything other than a return of Palestine?,Tue Oct 24 15:13:26 +0000 2023,https://twitter.com/steveinmerida/status/1716835296388784234
58,Luckeel8ee,@UdaBaker @JeremyDBoreing @benshapiro Especially the overnight activists that didn’t give a shit about Palestine or Gaza a month ago and have used this as an excuse to demonstrate their blatant Antisemitism,Tue Oct 24 15:13:26 +0000 2023,https://twitter.com/Luckeel8ee/status/1716835294593634595
59,SupremeBeingNes,@mhelenarato @Sprinter99800 The Ethnic Cleansing of Palestine https://t.co/OceLsYGJEo,Tue Oct 24 15:13:26 +0000 2023,https://twitter.com/SupremeBeingNes/status/1716835294308122721
61,Mohamed59434468,We stand with Palestine نحن نقف مع فلسطين #megamanx #zero #x #megaman #palestine #Gaza_under_attack #Gaza  #snes https://t.co/Rtlagivd9t,Tue Oct 24 15:13:25 +0000 2023,https://twitter.com/Mohamed59434468/status/1716835291150082166
64,OrcaFlying,@Sprinter99800 Malaysians will stand with Palestine. Always.,Tue Oct 24 15:13:24 +0000 2023,https://twitter.com/OrcaFlying/status/1716835287090028774
66,Said87721161,@cnnarabic https://t.co/TeVLXQs5GC,Tue Oct 24 15:13:23 +0000 2023,https://twitter.com/Said87721161/status/1716835283767881741
69,Lostpolitik94,@jamiecam43 @bronwentucker @MaritStiles Because it's bs. Marit is just trying to save face and con people into thinking palestine wasn't the reason they pushed out jama. Like most narcissistic karens Marit is all about control and she can't handle that someone dared not to kiss the ring.,Tue Oct 24 15:13:22 +0000 2023,https://twitter.com/Lostpolitik94/status/1716835281129914813
70,BreeNewsome,This is why it’s so important as citizens of a republic that we not allow ourselves to become cult followers of ANY politician.  Our elected leaders should serve our interests &amp  respond to our will. Otherwise it isn’t democracy.  Power corrupts many people &amp  turns them to tyrants,Tue Oct 24 15:13:22 +0000 2023,https://twitter.com/BreeNewsome/status/1716835280441770450
71,imjiminsogbitch,Copied literally everything. Someone tell him to get a dog too.,Tue Oct 24 15:13:21 +0000 2023,https://twitter.com/imjiminsogbitch/status/1716835273819275436
72,Hariskhan709,@ZynabAlAziz I stand with palestine🇵🇸,Tue Oct 24 15:13:20 +0000 2023,https://twitter.com/Hariskhan709/status/1716835269662654470
75,ChriLeblanc,Si la France condamnait la colonisation. la France s'est toujours refusée à reconnaitre la Palestine . ce qui permettait la colonisation ..,Tue Oct 24 15:13:18 +0000 2023,https://twitter.com/ChriLeblanc/status/1716835264457576794
77,a7mad12345,#Gaza_Genocide  #Gazabombing  #غزة_تستغيث  #مستشفى_القدس  #Palestine #Isreal  #natanyahu_A_criminal_of_war #Christianity #The_messiah,Tue Oct 24 15:13:18 +0000 2023,https://twitter.com/a7mad12345/status/1716835261760627002
79,ebrr13,Anyone know the origin of the word #Palestine?  Do you know what language it comes from?  Hint: it's not Arabic.,Tue Oct 24 15:13:17 +0000 2023,https://twitter.com/ebrr13/status/1716835259940217022
81,BIGGEEMONEY22,@AviMayer @Jerusalem_Post Can y’all do one next for the people that’s trapped in Palestine that would be a good idea but 2.2 million compared to 200 y’all might not have enough ink for it sadly,Tue Oct 24 15:13:17 +0000 2023,https://twitter.com/BIGGEEMONEY22/status/1716835259096911901
83,ForkOffEleanor,It is truly horrific what is happening in Gaza every single day. There is no justification to carpet bombing Palestine. The mass casualties are devastating to say the least. CEASEFIRE NOW 🗣️,Tue Oct 24 15:13:16 +0000 2023,https://twitter.com/ForkOffEleanor/status/1716835253317140607
84,magicaalcherry,@SanhajiAmazighi @CoffeeZillaa @justelamya Soutenir la Palestine sans être antizioniste c’est un contradictoire à sa racine et pour ce que tu dis Jss d’accord mais c moins par lâcheté que par le fait que culturellement on ne manifeste pas. le printemps arabe pèse encore sur notre communauté qui refuse de s’associer,Tue Oct 24 15:13:15 +0000 2023,https://twitter.com/magicaalcherry/status/1716835251484602581
87,illuminatus_AB,@jacksonhinklle You Can Crush All The Flowers But You Cannot Stop The Spring ~Pablo Neruda  PALESTINE will be FREE,Tue Oct 24 15:13:14 +0000 2023,https://twitter.com/illuminatus_AB/status/1716835245033746720
88,dkwmlfs,gila. palestine perlukan support dan suara kita. tapi orang orang against ph ni sibuk mempolitikkan semua isu. sudahla. fokus la isu yang lebih besar. palestine isunya bukan politik haih,Tue Oct 24 15:13:13 +0000 2023,https://twitter.com/dkwmlfs/status/1716835240382218348
89,PTrudeu,@UntelUntelbis @RealWingedChaos @Brad_Cannon @tristang300 When was Palestine a country. Again???,Tue Oct 24 15:13:13 +0000 2023,https://twitter.com/PTrudeu/status/1716835239945814426
92,KhidhrArabicBoy,@RishiSunak Then what do you call orthodox Jews standing with Palestine????,Tue Oct 24 15:13:12 +0000 2023,https://twitter.com/KhidhrArabicBoy/status/1716835235890135148
93,Pierreapolitiqu,@HadrienClouet @EmmanuelMacron Concontre Daesh et le Hamas  ! Pas contre la Palestine !  Hadrien Clouet : Vous ne savez ni lire et écouter ou vous le faites exprès !???😡😡😡,Tue Oct 24 15:13:12 +0000 2023,https://twitter.com/Pierreapolitiqu/status/1716835235621388336
94,Faisahmh,The Palestinians go through this everyday. and now the world sees that!!  #Palestine #IsraelNewNazism,Tue Oct 24 15:13:11 +0000 2023,https://twitter.com/Faisahmh/status/1716835234912854430
95,G0thyc_Enc0re,@M1das_OW2 Guys is this considered a hit tweet.,Tue Oct 24 15:13:10 +0000 2023,https://twitter.com/G0thyc_Enc0re/status/1716835230009655403
96,lyricalili,@NPR I used to love listening. until I read that you cut advertisements for @NathanThrall’s book on Palestine. I am going to stop listening/supporting you. and will now be reading ‘A Day in the Life of Abed Salama’. ✌️,Tue Oct 24 15:13:10 +0000 2023,https://twitter.com/lyricalili/status/1716835229900648583
97,sharaf146,@France24_en @FRANCE24 @andyhilliar @cloviscasali @shinjennie La guerre en cours entre Israël et la Palestine n'est pas une guerre entre deux États. donc l'attaque de la résistance palestinienne n'est pas une déclaration de guerre. mais seulement une réaction aux violations qui ont lieu depuis plus de 70 ans.,Tue Oct 24 15:13:10 +0000 2023,https://twitter.com/sharaf146/status/1716835228239503537
99,Dmitriunkin,Why is india there India sent aid to Palestine 😂,Tue Oct 24 15:13:10 +0000 2023,https://twitter.com/Dmitriunkin/status/1716835227614806269
